Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
5.783,4.044,1.584,8.507,4.857,0.972,2.098,1.557,2.726,5.501,1.282,1.026,1.528,3.622,2.724,2.837,0.984,0.946,1.467,3.087,1.911,0.922,1.501,3.588,2.27,1
7.427,7.093,2.427,10.932,6.016,1.344,1.947,1.662,3.799,5.134,1.396,0.923,2.08,4.001,2.22,2.644,1.109,1.283,1.771,3.028,1.826,1.009,1.57,3.454,2.095,1
17.042,19.786,4.77,18.469,25.826,4.119,1.817,2.617,7.066,11.202,2.203,1.026,4.041,4.606,6.296,2.33,1.423,2.086,2.627,3.705,1.756,1.201,1.705,3.317,2.238,1
30.556,36.582,9.457,27.376,119.648,8.482,2.596,4.687,9.276,56.093,3.793,1.101,5.95,4.736,29.145,2.16,1.531,2.47,3.391,9.759,1.983,1.343,1.691,3.291,4.108,1
36.285,42.475,13.18,32.114,192.18,10.32,3.403,5.948,9.33,94.265,5.057,1.107,6.253,5.265,47.363,2.18,1.482,2.416,3.805,15.003,2.222,1.386,1.689,3.432,5.776,1
43.922,49.671,23.69,42.517,299.963,12.446,5.978,8.477,8.419,158.041,8.604,1.765,5.399,8.591,76.792,2.908,1.571,2.261,5.417,24.272,2.813,1.515,1.901,4.481,8.91,1
47.278,53.736,30.509,48.135,300.296,12.941,7.672,9.637,8.175,163.218,10.325,2.636,4.812,10.885,78.941,3.759,1.886,2.418,6.8,25.692,3.073,1.649,2.1,5.353,9.487,1
53.938,63.475,42.768,56.629,200.19,12.974,10.843,10.925,8.42,112.955,11.41,4.834,4.504,13.371,55.5,5.773,2.87,3.197,9.653,20.705,3.292,2.018,2.434,6.978,7.958,1
51.97,63.804,43.365,50.344,82.464,10.954,11.222,9.729,7.786,43.802,8.604,5.673,4.681,11.422,22.792,6.284,3.307,3.485,9.871,11.757,3.07,2.212,2.461,7.429,4.938,1
44.982,55.685,37.58,41.425,50.869,9.266,9.816,8.242,6.794,24.417,6.658,5.219,4.508,9.719,12.578,5.593,3.094,3.172,8.569,8.383,2.874,2.163,2.363,7.145,3.842,1
23.849,29.522,18.993,22.1,27.763,6.34,5.329,5.223,4.642,14.216,4.035,3.329,3.677,7.101,5.088,3.216,2.148,2.091,4.697,4.689,2.527,1.87,2.055,6.148,3.012,1
7.78,8.241,4.826,9.638,14.538,5.04,1.841,4.128,3.424,11.939,3.16,1.596,3.197,5.592,4.351,1.458,1.296,1.342,1.892,3.179,2.365,1.59,1.748,5.506,3.187,1
4.346,3.914,1.912,7.269,15.963,4.532,1.089,4.316,2.99,11.503,2.845,1.085,3.301,4.768,5.38,1.188,1.055,1.222,1.338,3.368,2.318,1.494,1.622,5.428,3.436,1
3.153,2.903,1.15,7.148,78.795,3.118,0.939,4.731,2.262,27.66,2.555,0.936,3.837,3.109,15.581,1.685,1.005,1.431,1.676,7.783,2.212,1.35,1.47,5.702,4.785,1
3.152,2.69,1.644,7.466,148.58,2.561,1.241,4.638,2.354,47.087,2.904,1.465,4.123,2.596,25.77,2.318,1.297,1.824,2.535,12.304,2.183,1.322,1.485,6.061,6.12,1
6.563,5.259,4.294,12.104,301.886,3.509,4.047,5.108,5.164,87.859,4.817,3.936,5.148,2.5,46.707,3.849,2.584,3.203,5.589,21.681,2.246,1.424,1.693,7.164,9.147,1
22.163,18.414,12.226,30.564,327.175,9.675,14.354,9.502,12.753,92.46,8.225,8.541,9.041,5.395,51.94,5.299,4.374,4.853,9.552,23.202,2.626,1.714,2.055,8.669,10.115,1
34.867,28.589,18.776,44.219,277.46,14.405,21.638,12.891,17.18,78.23,10.245,11.386,12.31,8.444,47.652,6.041,5.25,5.556,11.265,20.262,3.034,1.99,2.318,9.569,9.599,1
62.151,47.69,33.732,66.989,150.709,22.603,32.144,17.86,22.873,42.444,13.271,15.814,18.255,15.297,34.344,7.443,6.493,6.295,12.897,12.191,4.024,3.171,2.886,10.938,7.933,0
72.572,53.175,39.92,71.341,115.16,24.161,32.377,17.967,23.267,31.58,13.5,16.178,19.006,17.23,28.665,7.8,6.656,6.211,12.537,9.279,4.312,4.043,3.033,10.895,7.247,0
79.518,52.078,44.598,64.597,108.713,20.973,23.212,13.362,20.151,25.549,10.922,12.337,14.3,15.362,19.501,7.027,5.837,5.071,9.654,6.631,3.904,5.397,2.683,8.648,5.906,0
68.106,38.867,38.832,49.859,103.502,13.354,11.598,7.054,14.799,21.808,6.541,6.214,6.282,8.904,10.157,4.634,3.936,3.204,5.538,5.147,2.494,4.902,1.65,4.701,3.748,0
57.868,30.835,33.454,42.992,92.46,9.771,7.994,4.794,11.927,19.618,4.794,4.035,3.455,6.094,6.954,3.445,2.974,2.382,3.794,4.745,1.794,3.994,1.148,2.994,2.716,0
34.1,16.706,20.887,29.372,69.074,4.59,4.712,2.383,6.315,22.483,2.878,2.312,1.289,3.188,9.946,1.989,1.632,1.375,1.745,8.666,0.952,2.076,0.59,1.216,2.968,0
15.275,7.659,9.595,16.773,66.138,1.956,2.978,1.505,2.785,41.531,1.911,1.847,0.973,2.22,24.466,1.638,0.937,0.895,1.184,20.889,0.656,1.144,0.445,0.908,7.243,0
11.166,5.876,6.271,12.635,73.012,1.825,2.534,1.49,2.589,53.539,1.717,1.639,0.943,2.113,31.729,1.68,0.76,0.756,1.186,27.026,0.571,0.992,0.404,0.847,9.69,0
14.097,8.821,5.572,10.899,86.82,5.658,4.398,2.872,5.975,66.479,3.928,2.771,2.578,4.289,36.227,1.949,0.796,0.785,1.607,29.925,0.515,0.843,0.38,0.724,11.35,0
20.169,13.602,7.674,13.355,86.94,9.492,6.79,4.262,9.203,63.751,6.534,4.367,4.497,6.71,32.215,2.099,0.985,0.945,1.975,25.648,0.541,0.8,0.406,0.678,9.93,0
33.819,23.927,12.173,20.319,79.284,15.965,11.045,6.706,14.934,49.205,11.565,7.747,8.531,11.498,20.333,2.193,1.403,1.244,2.49,12.748,0.623,0.788,0.492,0.633,4.897,0
41.258,24.49,11.897,25.746,154.268,15.471,10.725,6.339,14.267,57.722,11.435,8,8.919,11.885,30.078,2,1.596,1.196,2.27,11.549,0.657,0.78,0.543,0.665,3.336,0
40.988,20.156,10.075,28.398,253.332,13.622,9.653,5.312,11.693,78.008,9.729,7.017,7.616,10.374,47.671,2.029,1.776,1.164,2.048,18.05,0.668,0.785,0.555,0.762,5.037,0
33.74,9.481,6.629,33.912,492.08,11.306,8.743,3.654,6.709,126.017,7.074,5.39,4.709,6.943,86.384,2.646,2.594,1.395,1.903,34.131,0.746,0.88,0.579,1.141,10.036,0
22.314,5.097,6.188,33.83,536.524,11.354,9.098,4.054,5.685,129.098,7.809,5.91,3.709,5.172,89.585,3.387,3.614,1.713,2.234,36.361,0.852,1.028,0.58,1.453,11.194,0
17.95,5.93,6.932,30.814,447.599,10.986,8.652,4.967,6.372,107.602,8.554,6.368,3.645,4.472,73.825,3.488,3.973,1.678,2.425,30.269,0.859,1.053,0.553,1.445,9.534,0
14.399,9.576,7.789,22.205,187.46,8.517,6.178,7.128,7.86,50.072,8.519,6.046,3.247,2.661,31.841,3.128,4.173,1.19,2.619,13.452,0.733,0.924,0.461,1.118,4.406,0
14.767,10.53,7.828,19.702,89.737,7.34,5.11,8.029,8.339,29.301,7.659,5.331,2.973,1.933,16.977,2.854,4.021,0.917,2.625,7.56,0.638,0.815,0.423,0.913,2.436,0
18.581,11.546,9.88,23.805,20.708,6.602,5.295,9.036,8.958,14.221,4.958,3.619,2.702,1.529,5.758,2.428,3.315,0.694,2.49,3.923,0.522,0.684,0.414,0.699,0.993,0
24.037,13.169,14.2,34.024,22.272,7.034,7.195,8.683,8.762,12.733,2.281,2.223,2.683,2.304,3.894,2.046,2.333,0.843,2.306,4.263,0.531,0.691,0.456,0.739,1.027,0
24.619,13.777,15.346,36.898,24.72,7.109,7.637,8.016,8.198,12.457,1.445,1.732,2.627,2.822,3.305,1.829,1.899,0.933,2.235,4.224,0.548,0.692,0.468,0.77,1.061,0
20.023,11.84,13.416,31.722,22.506,6.527,6.463,5.915,6.279,11.625,0.99,1.089,2.276,3.381,2.689,1.481,1.364,1.001,2.061,3.545,0.536,0.608,0.441,0.735,1.028,0
15.205,9.365,10.215,24.393,19.1,5.829,5.106,4.584,5.079,10.643,1.088,0.882,1.97,3.265,2.504,1.4,1.199,0.974,1.896,3.055,0.501,0.538,0.403,0.666,0.99,0
6.411,4.026,3.473,9.432,13.138,4.367,2.757,2.259,3.059,8.233,1.436,0.673,1.291,2.467,2.195,1.399,0.904,0.857,1.47,2.233,0.437,0.478,0.321,0.529,1.074,0
4.147,2.615,1.186,3.552,13.357,3.717,2.368,1.517,2.543,6.714,1.71,0.708,0.838,1.572,2.107,1.445,0.673,0.735,1.241,1.972,0.481,0.585,0.327,0.527,1.403,0
4.697,3.903,1.421,3.476,14.404,3.648,2.615,1.74,2.839,6.141,1.758,0.764,0.723,1.268,2.097,1.41,0.593,0.676,1.262,1.987,0.538,0.653,0.367,0.562,1.541,0
7.706,9.259,3.186,5.703,15.737,3.76,2.841,2.674,3.948,4.894,1.777,0.802,0.637,1.06,1.859,1.173,0.554,0.572,1.455,1.95,0.627,0.724,0.44,0.602,1.517,0
11.991,14.549,5.024,8.414,15.944,4.055,2.555,3.491,4.841,4.181,2.182,0.718,0.824,1.323,1.568,0.82,0.674,0.555,1.594,1.622,0.585,0.715,0.437,0.581,1.148,0
14.051,15.425,5.552,9.514,16.106,4.178,2.39,3.703,4.95,4.219,2.54,0.643,1.056,1.537,1.566,0.675,0.727,0.586,1.582,1.42,0.517,0.701,0.41,0.564,0.943,0
16.617,13.579,5.538,10.783,16.846,4.419,2.407,3.855,4.685,4.974,3.045,0.492,1.576,1.944,1.853,0.564,0.707,0.664,1.393,1.283,0.384,0.679,0.365,0.563,0.691,0
16.567,11.53,5.113,11.118,17.629,4.52,2.658,3.847,4.425,5.39,2.963,0.422,1.7,2.101,2.008,0.597,0.643,0.682,1.238,1.41,0.348,0.666,0.36,0.581,0.666,0
13.573,7.986,3.901,11.354,21.348,4.333,3.326,3.491,3.652,5.497,2.074,0.316,1.527,2.267,2.096,0.719,0.529,0.665,0.865,1.916,0.329,0.599,0.354,0.629,0.77,0
7.971,5.163,2.492,9.904,25.18,3.114,3.271,2.466,2.343,4.311,0.957,0.342,1.189,2.008,2.074,0.703,0.529,0.625,0.5,2.392,0.314,0.454,0.301,0.626,0.958,0
5.193,3.736,1.813,8.412,24.874,2.278,2.792,1.867,1.626,3.584,0.565,0.394,1.135,1.7,2.087,0.628,0.562,0.603,0.387,2.469,0.299,0.367,0.26,0.59,1.016,0
2.573,2.929,1.238,5.401,19.124,1.143,1.725,1.217,0.854,2.773,0.193,0.615,1.28,1.059,2.147,0.492,0.65,0.592,0.443,2.186,0.314,0.273,0.215,0.504,1.01,0
2.834,5.378,1.373,4.68,15.644,1.014,1.978,1.269,0.837,2.768,0.126,0.847,1.475,0.851,2.184,0.48,0.722,0.629,0.608,1.897,0.376,0.323,0.241,0.517,0.989,0
4.845,15.828,1.871,4.509,11.211,1.237,4.965,1.831,1.012,2.95,0.091,1.622,2.091,0.733,2.526,0.574,0.964,0.807,1.008,1.362,0.624,0.635,0.423,0.821,1.058,0
6.212,24.409,2.16,4.915,9.379,1.509,8.379,2.237,1.136,2.725,0.227,2.568,2.709,0.777,3.435,0.757,1.201,1.048,1.169,1.277,0.961,1.074,0.773,1.494,1.376,0
6.167,24.371,2.195,5.28,7.917,1.618,8.823,2.182,1.227,2.388,0.412,2.962,2.781,0.827,3.885,0.866,1.25,1.151,1.119,1.409,1.132,1.27,1.008,1.888,1.606,0
5.622,16.353,2.311,7.922,4.501,1.781,6.797,1.847,1.618,1.726,0.953,3.422,2.299,1.159,4.337,1.051,1.167,1.316,0.972,1.77,1.412,1.496,1.474,2.528,2,0
5.712,7.276,2.466,11.74,3.119,1.709,3.655,1.854,2.372,2.153,1.283,3.401,1.63,1.929,4.047,1.089,0.941,1.406,1.093,2.001,1.507,1.434,1.715,2.775,2.069,0
5.781,4.77,2.399,12.625,3.341,1.568,2.624,2.023,2.847,2.849,1.25,3.162,1.503,2.342,3.643,1.064,0.837,1.39,1.252,2.015,1.479,1.327,1.737,2.797,1.996,0
4.785,2.369,1.895,10.532,3.966,1.293,1.765,2.283,3.552,4.463,0.985,2.25,1.656,2.764,2.534,1.037,0.708,1.203,1.514,1.825,1.375,1.114,1.7,2.875,1.824,0
2.77,1.024,1.264,5.889,4.164,1.29,1.557,1.946,3.237,5.696,0.947,1.249,1.908,2.395,1.724,1.145,0.663,0.966,1.679,1.579,1.318,1.035,1.647,3.054,1.732,0
2.407,0.844,1.283,4.398,4.81,1.36,1.573,1.598,2.713,6.194,1.095,0.971,2.117,2.048,1.771,1.264,0.694,0.966,1.871,1.574,1.302,1.031,1.6,3.109,1.7,0
5.76,2.744,3.09,5.428,9.067,1.628,1.48,1.021,1.815,6.99,1.642,1.146,3.117,1.896,2.948,1.771,1.138,1.595,2.886,1.984,1.32,1.052,1.488,3.203,1.781,0
9.563,4.892,5.101,8.47,12.088,1.922,1.276,0.911,1.776,7.174,1.953,1.526,3.794,2.376,3.763,2.175,1.589,2.204,3.693,2.391,1.408,1.094,1.483,3.381,2.006,0
17.393,10.106,9.753,17.723,16.634,2.734,0.84,0.956,2.456,6.712,2.38,2.399,4.639,4.112,4.9,2.97,2.561,3.306,5.198,3.361,1.803,1.284,1.649,4.189,2.856,0
17.478,11.524,10.514,23.804,14.962,3.053,0.877,0.945,3.192,5.241,2.333,2.684,4.17,5.089,4.728,3.161,2.773,3.289,5.36,3.956,2.188,1.455,1.772,4.91,3.534,0
14.046,10.032,8.889,23.337,14.814,2.879,1.169,0.84,3.321,4.633,2.164,2.524,3.605,4.754,4.509,2.984,2.512,2.835,4.786,4.008,2.219,1.454,1.708,4.904,3.555,1
5.485,5.379,4.453,15.872,50.236,2.28,1.991,0.627,3.104,10.643,1.695,2.029,2.495,2.843,7.596,2.393,1.776,1.749,3.033,4.65,1.941,1.264,1.372,4.224,3.279,1
1.493,2.886,2.188,7.677,157.177,1.972,2.335,0.738,2.488,30.793,1.213,1.855,1.754,1.166,17.609,1.921,1.351,1.209,1.843,7.325,1.666,1.035,1.151,3.935,3.619,1
1.26,2.659,1.914,5.612,213.18,1.923,2.179,0.907,2.103,41.327,1.092,1.898,1.501,0.998,23.08,1.803,1.248,1.13,1.749,8.965,1.687,0.981,1.2,4.333,4.087,1
2.003,2.327,1.514,5.069,242.974,1.701,1.524,1.306,1.583,47.031,1.333,1.949,1.188,2.335,27.236,1.746,1.006,1.001,2.315,10.314,1.975,1.002,1.5,5.807,4.803,1
2.644,1.959,1.321,6.188,206.405,1.486,1.275,1.564,1.604,40.243,1.638,1.895,1.199,3.701,24.608,1.744,0.86,0.921,2.696,9.485,2.12,1.032,1.623,6.444,4.75,1
4.243,1.269,1.581,9.204,88.802,1.014,1.133,2.162,2.005,19.015,2.091,1.78,1.646,6.538,14.319,1.686,0.679,0.812,3.206,6.12,2.267,1.029,1.631,6.82,3.941,1
5.434,1.345,2.627,10.292,18.33,0.822,1.135,2.473,2.311,6.798,1.923,1.882,2.387,7.11,6.468,1.556,0.811,0.831,3.44,3.696,2.437,1.013,1.527,6.446,3.254,1
5.534,1.738,3.082,9.421,10.043,0.862,1.079,2.339,2.323,5.66,1.702,2.036,2.664,6.291,4.861,1.519,0.955,0.884,3.532,3.224,2.575,1.057,1.543,6.28,3.185,1
4.522,2.795,3.248,5.839,8.789,0.923,1.014,1.601,2.084,5.946,1.394,2.464,2.656,3.859,4.148,1.617,1.145,1.039,3.591,2.775,2.788,1.257,1.698,6.136,3.314,1
3.583,3.235,2.967,4.204,7.672,0.85,1.13,1.247,1.886,5.991,1.352,2.661,2.353,2.923,4.207,1.74,1.133,1.129,3.482,2.583,2.804,1.376,1.761,6.09,3.381,1
1.999,3.462,2.024,3.077,8.799,0.815,1.744,1.156,1.589,5.916,1.381,2.808,1.574,2.112,4.034,2.06,1.075,1.344,3.055,2.582,2.679,1.559,1.725,5.928,3.414,1
3.068,2.885,1.985,6.693,10.72,2.144,2.671,1.89,2.278,7.091,1.632,2.663,1.482,2.567,4.052,2.325,1.289,1.783,2.905,3.157,2.512,1.622,1.561,5.777,3.342,1
5.19,2.851,2.829,10.689,11.023,3.515,3.17,2.442,3.219,8.462,1.902,2.568,1.845,3.422,4.535,2.375,1.479,2.099,3.119,3.417,2.443,1.616,1.52,5.806,3.292,1
11.612,5.187,6.205,21.528,11.91,6.677,3.995,3.611,5.893,11.28,2.864,2.527,2.92,6.812,6.212,2.301,1.75,2.697,4.198,3.419,2.328,1.559,1.633,6.225,3.198,1
18.836,12.526,11.897,33.577,17.395,9.192,5.137,4.976,8.201,11.828,5.18,3.693,4.033,11.803,7.886,2.374,1.879,3.08,6.236,3.348,2.488,1.607,2.088,7.272,3.429,1
22.038,16.963,15.124,39.913,21.626,10.097,6.314,5.91,8.656,11.427,7.037,5.129,4.903,14.486,8.79,2.563,2.001,3.21,7.316,3.53,2.735,1.755,2.428,7.961,3.745,1
28.271,23.976,20.861,53.975,28.854,12.791,11.162,9.008,9.486,12.634,11.613,9.589,8.455,20.176,11.67,2.895,2.324,3.353,8.162,4.031,3.319,2.263,3.075,9.171,4.464,1
31.002,25.837,22.806,59.38,30.121,14.806,14.488,10.941,10.533,14.832,13.588,11.973,10.987,22.96,13.291,2.858,2.407,3.329,7.637,4.161,3.515,2.519,3.266,9.532,4.697,1
32.507,25.499,23.154,58.497,27.557,17.582,19.114,13.012,12.862,18.673,14.618,14.302,14.69,25.756,14.318,2.364,2.201,3.108,5.452,4.217,3.532,2.738,3.258,9.652,4.691,1
24.991,19.639,17.48,39.433,20.436,15.154,16.606,10.315,11.896,16.012,11.371,11.437,13.03,21.603,11.679,1.902,1.625,2.911,3.607,4.457,3.118,2.399,2.808,8.873,4.155,1
18.81,15.492,13.258,27.308,16.608,12.318,13.04,7.769,9.844,12.491,9.126,8.688,10.429,17.501,10.294,1.9,1.37,2.884,3.175,4.683,2.858,2.104,2.518,8.254,3.825,1
7.45,7.096,5.394,9.789,9.969,6.968,5.63,3.59,5.586,5.874,5.637,3.598,5.016,9.606,9.483,2.318,1.221,2.773,3.001,4.885,2.446,1.595,2.081,7.232,3.334,1
2.832,5.745,2.995,4.761,6.677,5.175,2.616,3.092,4.952,4.545,4.128,1.398,2.18,5.341,9.204,3.098,1.417,2.344,3.09,4.484,2.352,1.438,2.044,7.121,3.344,1
2.987,9.752,4.197,4.608,6.511,5.187,3.074,3.791,6.014,5.646,3.785,1.451,1.713,4.261,8.283,3.637,1.573,2.067,3.148,4.251,2.429,1.497,2.126,7.311,3.585,1
4.421,25.263,7.266,4.906,7.434,4.872,6.276,4.795,9.159,8.382,3.085,3.163,1.557,2.708,5.195,4.701,2.035,1.565,3.203,3.955,2.612,1.771,2.176,7.452,4.253,1
5.686,39.937,7.654,5.833,7.967,3.775,9.75,4.36,11.006,9.046,2.274,5.891,1.956,1.767,2.823,4.74,2.557,1.197,3.204,3.445,2.687,2.025,1.977,7.196,4.689,1
6.356,41.215,6.821,7.531,7.928,3.038,10.251,3.701,10.531,8.316,1.874,6.869,2.235,1.578,2.368,4.223,2.644,1.09,3.222,3.062,2.8,2.082,1.943,7.311,4.837,1
8.636,30.206,5.886,15.769,8.065,1.644,7.862,2.286,7.089,6.253,1.307,6.742,2.363,1.376,2.599,2.885,2.287,1.186,3.377,2.804,3.395,2.025,2.236,8.44,5.28,1
10.92,21.966,6.747,22.129,9.544,1.168,5.69,1.762,4.99,5.628,1.17,5.738,2.083,1.323,3.031,2.431,1.972,1.369,3.508,3.132,3.728,1.916,2.45,9.039,5.519,1
19.521,7.831,10.406,33.664,19.176,0.79,2.008,1.088,2.017,5.545,1.052,3.41,1.211,1.292,4.149,2.084,1.546,1.671,3.563,4.193,3.743,1.603,2.465,8.652,5.398,1
35.845,4.166,13.893,40.724,37.468,1.236,0.885,0.777,1.415,6.529,0.926,2.322,0.774,1.14,5.184,1.831,1.473,1.472,2.911,4.577,2.592,1.258,1.72,5.678,3.989,0
44.115,5.132,14.797,42.555,46.52,1.692,0.965,0.798,1.651,7.677,0.86,2.207,0.797,1.013,5.705,1.64,1.428,1.203,2.387,4.478,1.848,1.106,1.243,3.873,3.038,0
49.436,7.472,14.173,41.458,55.571,2.473,1.296,1.046,2.184,11.758,0.734,1.793,0.897,0.789,6.744,1.3,1.15,0.66,1.443,4.362,0.805,0.881,0.553,1.326,1.631,0
44.128,8.16,12.604,37.869,56.501,2.547,1.399,1.145,2.319,14.218,0.671,1.398,0.858,0.748,7.136,1.164,0.964,0.482,1.139,4.406,0.593,0.799,0.391,0.767,1.374,0
24.765,7.162,8.02,27.051,118.626,2.308,1.581,1.225,2.532,20.026,0.652,0.712,0.743,1.184,10.61,0.93,0.776,0.386,0.854,4.43,0.503,0.646,0.288,0.472,1.609,0
11.33,8.335,5.816,19.342,300.99,2.476,2.393,1.843,3.313,25.3,0.873,0.565,0.794,2.378,25.291,1.067,1.19,0.737,1.042,5.688,0.481,0.515,0.295,0.455,2.367,0
9.503,10.833,6.471,18.198,393.206,2.819,3.018,2.474,3.797,26.844,1.012,0.636,0.832,2.909,35.439,1.366,1.573,1.041,1.303,7.698,0.461,0.48,0.321,0.465,2.806,0
9.571,15.711,8.756,17.099,440.035,3.351,3.796,3.626,4.172,28.277,1.168,0.916,0.761,3.01,48.37,2.042,2.126,1.52,1.751,15.027,0.4,0.482,0.388,0.504,3.592,0
8.194,13.494,7.968,13.09,288.627,3.112,3.122,3.563,3.589,29.206,1.224,1.341,0.567,1.901,40.729,2.08,1.87,1.446,1.545,22.938,0.321,0.53,0.389,0.521,3.945,0
7.68,10.126,6.545,10.713,192.295,2.816,2.456,3.256,3.287,29.018,1.375,1.607,0.543,1.343,31.827,1.845,1.53,1.265,1.28,24.985,0.294,0.545,0.361,0.52,3.859,0
9.377,3.692,4.551,7.526,76.899,2.84,1.535,3.664,3.204,24.849,2.582,2.649,0.836,1.372,17.308,1.829,1.069,1.2,1.451,24.014,0.51,0.674,0.464,0.697,3.43,0
11.108,2.361,4.82,7.044,60.815,3.624,1.52,4.624,3.561,20.849,3.66,3.667,1.132,2.219,14.198,2.392,1.105,1.456,2.227,21.885,0.951,0.91,0.76,1.122,3.43,0
12.636,3.675,6.767,7.044,53.3,6.617,2.039,6.677,4.991,12.617,5.673,6.307,1.723,5.083,11.888,4.177,1.532,2.186,4.682,16.872,2.682,1.76,1.977,3.528,4.513,0
10.915,6.668,6.926,6.839,36.121,9.001,2.398,6.488,6.953,8.486,5.697,7.484,1.898,7.642,8.373,4.977,1.861,2.36,6.122,11.846,4.526,2.451,3.331,7.824,6.263,0
10.496,7.509,6.077,6.388,26.051,9.136,2.384,5.442,7.766,8.342,4.877,6.905,1.767,8.204,6.324,4.726,1.862,2.17,5.978,9.388,4.955,2.469,3.705,10.063,6.766,2
12.131,7.507,4.355,6.554,15.341,7.444,2.301,2.978,8.168,8.871,2.917,4.453,1.468,8.128,3.294,3.803,1.613,1.764,5.017,5.379,4.6,1.887,3.726,13.647,6.581,2
14.552,6.283,5.187,10.865,12.761,5.214,3.704,1.953,7.065,7.856,2.048,3.224,1.985,8.039,2.754,3.712,1.417,2.017,5.488,4.279,3.835,1.207,3.496,15.738,6.011,2
14.973,5.685,6.537,14.242,12.876,4.436,5.052,1.964,6.283,6.858,2.097,3.39,2.622,8.131,3.071,4.025,1.463,2.366,6.286,4.769,3.721,1.047,3.471,16.084,5.982,2
13.541,4.723,8.822,18.259,13.142,3.348,7.148,2.223,4.767,5.135,2.394,3.754,3.784,7.532,3.672,4.587,1.788,2.918,7.333,5.762,3.789,1.03,3.332,14.717,6.005,2
9.366,4.034,7.979,14.181,11.177,2.451,6.256,2.229,3.704,4.521,2.1,2.94,3.606,5.666,3.046,4.406,1.946,2.766,6.43,5.113,3.399,1.08,2.746,11.086,5.239,2
6.925,3.791,6.395,10.282,9.838,2.184,4.817,2.075,3.284,4.42,1.706,2.315,3.086,4.857,2.373,4.042,1.831,2.44,5.541,4.357,2.998,1.058,2.407,9.353,4.666,2
3.438,3.663,2.85,4.205,7.377,2.574,1.966,1.686,2.841,4.57,1.047,1.419,2.224,4.418,1.392,3.133,1.339,1.658,4.089,3.035,2.28,0.908,2.098,8.094,3.958,2
2.821,3.823,1.726,3.179,6.823,3.102,1.201,1.582,2.83,4.68,0.971,1.221,2.143,4.722,1.306,2.708,1.087,1.336,3.68,2.661,2.098,0.823,2.162,8.533,3.944,2
3.785,4.203,0.965,4.302,6.569,3.955,0.965,1.598,2.845,4.564,1.139,0.99,2.259,5.379,1.547,2.007,0.763,0.966,3.351,2.254,1.946,0.749,2.352,9.646,4.071,2
6.365,3.942,0.892,6.355,5.406,3.618,1.257,1.594,2.334,4.13,1.239,0.781,1.97,4.98,1.699,1.477,0.616,0.89,3.485,1.91,1.674,0.777,2.158,9.209,3.614,2
7.404,3.502,0.896,6.536,4.545,3.181,1.403,1.535,1.883,3.93,1.253,0.752,1.688,4.411,1.725,1.283,0.562,0.899,3.642,1.749,1.502,0.781,1.958,8.78,3.255,2
7.628,2.431,0.759,5.185,3.139,2.584,1.645,1.476,1.077,3.977,1.363,0.849,1.117,3.068,1.755,1.015,0.496,0.881,3.606,1.468,1.351,0.72,1.736,9.436,2.913,2
6.928,2.072,0.658,4.348,3.292,2.576,1.775,1.564,1.014,4.364,1.47,0.907,0.914,2.497,1.839,0.917,0.483,0.834,3.313,1.359,1.411,0.672,1.77,10.607,3.017,2
5.327,1.863,0.655,4.573,20.58,2.916,2.066,1.82,1.734,11.268,1.695,0.893,0.686,1.767,4.743,0.759,0.455,0.727,2.495,2.043,1.655,0.631,1.929,12.758,3.719,2
4.812,1.625,0.901,7.939,83.639,3.255,2.205,1.69,2.828,35.479,1.706,0.713,0.53,1.27,15.275,0.723,0.414,0.759,2.204,5.409,1.769,0.727,1.935,12.965,5.144,2
5.002,1.379,1.068,9.803,123.221,3.408,2.101,1.435,3.164,50.748,1.674,0.633,0.467,1.145,21.936,0.803,0.425,0.856,2.418,7.651,1.752,0.815,1.907,12.84,6.018,2
5.393,1.006,1.326,11.236,160.872,3.56,1.516,0.835,3.099,66.707,1.64,0.677,0.496,1.69,28.881,1.219,0.567,1.264,3.622,10.366,1.701,0.995,1.994,13.688,7.146,2
4.871,0.979,1.706,9.5,115.59,3.207,0.828,0.459,2.46,49.332,1.567,0.901,0.701,2.969,21.419,1.853,0.761,1.961,5.601,8.933,1.73,1.128,2.32,15.085,6.371,2
4.352,1.071,2.011,8.19,78.125,2.926,0.607,0.407,2.2,33.693,1.592,0.956,0.8,3.455,14.856,2.153,0.8,2.289,6.442,7.364,1.736,1.172,2.5,14.902,5.377,2
5.727,2.084,2.935,6.965,24.341,3.231,0.81,0.682,2.067,10.648,2.274,0.851,1.017,3.886,5.33,2.648,0.733,2.557,6.688,4.967,1.612,1.188,2.656,11.822,3.322,2
9.959,4.35,3.948,8.886,15.937,4.094,1.392,1.052,2.226,6.973,3.112,0.902,1.233,4.223,3.775,2.844,0.714,2.466,5.948,4.424,1.478,1.153,2.544,9.372,2.584,0
27.568,14.897,8.173,21.718,20.155,6.785,3.362,2.144,3.526,7.773,5.226,1.757,1.907,6.024,3.886,2.979,0.934,2.039,3.604,3.641,1.212,1.037,1.917,4.558,1.719,0
