Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
14.976,3.032,2.489,5.048,12.818,2.834,3.79,2.117,2.748,5.665,3.329,1.79,1.87,1.385,4.563,1.135,0.886,0.519,0.922,1.289,0.583,0.753,0.254,1.173,1.106,1
57.623,2.542,3.478,7.654,32.477,4.307,3.512,2.758,2.704,7.312,2.956,1.507,2.252,1.218,4.782,0.808,0.894,0.617,1.178,1.456,0.622,0.744,0.421,1.314,1.142,1
83.271,2.564,4.187,8.587,43.208,5.504,3.172,2.966,2.765,8.32,2.622,1.375,2.626,1.093,4.627,0.727,0.916,0.688,1.356,1.617,0.769,0.805,0.587,1.445,1.271,0
104.784,3.14,5.046,7.969,49.429,6.869,2.489,2.873,2.887,8.579,1.896,1.386,3.161,0.948,4.247,0.801,0.941,0.717,1.556,2.011,1.158,1.011,0.963,1.774,1.639,0
93.404,3.434,4.862,6.466,42.877,6.543,2.273,2.646,2.825,7.756,1.556,1.486,3.045,0.94,4.158,0.889,0.937,0.653,1.51,2.137,1.27,1.088,1.086,1.859,1.748,0
44.59,3.555,3.468,3.112,21.053,4.711,2.153,2.386,2.411,5.968,1.074,1.732,2.101,0.933,4.034,0.977,0.941,0.498,1.231,2.045,1.153,1.052,1.074,1.673,1.606,1
9.871,2.909,2.17,1.647,7.79,3.375,2.397,2.896,1.957,5.359,0.933,1.926,1.187,0.843,3.48,0.851,0.913,0.462,0.967,1.609,0.762,0.781,0.796,1.178,1.254,1
4.41,2.403,1.892,1.541,6.024,3.158,2.596,3.372,1.853,5.211,0.873,1.941,1.007,0.778,2.929,0.742,0.855,0.483,0.883,1.392,0.597,0.643,0.64,0.97,1.163,1
2.907,1.378,2.088,1.622,6.141,3.151,3.088,4.293,2.097,4.5,0.677,1.789,1.024,0.785,1.662,0.661,0.738,0.522,0.83,1.202,0.479,0.553,0.439,0.874,1.196,1
3.283,0.671,3.153,1.827,7.186,3.801,3.44,4.616,2.919,4.67,0.535,1.664,1.086,1.129,1.036,0.965,0.796,0.599,1.052,1.35,0.613,0.723,0.453,1.158,1.268,0
4.155,0.56,3.9,2.098,7.932,4.313,3.366,4.433,3.39,5.827,0.563,1.673,1.071,1.347,1.074,1.231,0.886,0.683,1.301,1.483,0.74,0.832,0.539,1.34,1.283,0
5.781,0.803,5.224,2.762,8.979,4.829,2.598,3.557,4.02,9.752,0.999,1.606,1.002,1.572,1.523,1.698,1.057,0.896,1.993,1.665,1.001,0.96,0.781,1.541,1.339,0
6.265,1.079,5.504,2.869,9.342,4.615,2.113,3.114,4.067,11.572,1.432,1.446,1.081,1.617,1.858,1.777,1.1,0.985,2.314,1.708,1.079,0.958,0.88,1.497,1.395,0
7.693,1.569,5.331,2.653,9.735,5.257,1.699,3.099,3.707,14.035,2.657,1.096,1.743,1.875,3.095,1.563,1.108,1.027,2.541,1.741,1.071,0.854,0.927,1.202,1.484,0
11.824,1.591,5.374,2.604,10.259,11.194,2.118,4.329,3.045,16.939,4.2,1.071,2.718,2.423,5.546,1.17,1.061,0.869,2.124,1.635,0.931,0.812,0.787,0.959,1.435,1
14.143,1.413,5.855,2.748,10.394,15.444,2.354,4.914,2.686,18.674,4.852,1.133,3.032,2.606,6.9,1.048,1.021,0.746,1.793,1.489,0.858,0.867,0.692,0.924,1.359,1
15.049,1.032,6.807,3.274,9.394,20.259,2.495,4.917,2.1,19.552,5.081,1.12,2.892,2.311,7.964,1.05,0.93,0.57,1.215,1.11,0.765,1.043,0.551,0.981,1.18,1
9.669,0.864,6.563,3.821,7.613,16.257,2.382,3.611,2.062,14.835,3.805,0.932,1.957,1.484,6.083,1.223,0.955,0.741,0.929,0.96,0.804,1.09,0.541,1.136,1.195,1
6.327,0.811,6.055,4.139,7.666,12.401,2.345,2.967,2.277,11.711,2.883,0.896,1.467,1.171,4.663,1.283,1.036,0.954,0.884,1.039,0.873,1.039,0.573,1.226,1.327,1
3.388,0.617,5.408,4.55,10.759,6.324,2.261,2.29,2.975,8.141,1.367,0.982,0.901,0.991,2.871,1.283,1.22,1.333,0.95,1.335,1.006,0.912,0.634,1.32,1.652,1
4.198,0.484,5.278,4.342,12.544,4.89,2.142,2.172,3.297,7.918,1.006,1.007,0.849,1.065,2.746,1.224,1.267,1.372,1.033,1.434,1.009,0.883,0.629,1.27,1.722,1
9.769,0.425,4.679,3.31,14.711,3.668,1.82,2.036,3.45,8.011,0.955,0.845,0.957,1.235,2.908,1.029,1.26,1.127,1.204,1.38,0.872,0.864,0.532,0.982,1.616,1
17.158,0.866,3.239,3.057,14.7,3.052,1.643,1.978,2.886,6.997,1.138,0.57,0.938,1.201,2.424,0.91,1.197,0.797,1.343,1.127,0.754,0.778,0.437,0.709,1.476,1
18.935,1.175,2.454,3.573,14.068,3.121,1.606,1.938,2.483,6.408,1.249,0.487,0.883,1.188,2.129,0.956,1.155,0.72,1.367,1.024,0.778,0.721,0.444,0.663,1.461,1
16.648,1.622,1.413,4.74,11.298,3.86,1.501,1.64,1.954,5.503,1.769,0.439,0.833,1.256,1.791,1.352,1.024,0.744,1.217,0.917,0.968,0.674,0.574,0.772,1.417,1
14.59,1.741,1.199,4.794,9.342,4.556,1.449,1.403,2.007,5.164,2.364,0.426,0.859,1.28,1.704,1.737,0.96,0.804,1.058,0.878,1.084,0.707,0.659,0.917,1.312,1
15.732,2.031,1.154,3.44,6.771,6.838,1.485,1.21,2.777,4.502,4.167,0.424,0.939,1.259,1.511,2.667,0.912,0.947,0.807,0.754,1.227,0.832,0.767,1.301,0.957,1
